prob_nr	run	repetition	trial_type	condition	start	end
2	1	1	relax	rotation	6.528	64.777
2	1	1	relax	math	94.441	153.426
2	1	1	stress	rotation	182.375	242.338
2	1	1	stress	math	270.324	327.208
2	1	2	relax	rotation	358.331	418.262
2	1	2	relax	math	446.229	506.224
2	1	2	stress	rotation	534.191	594.113
2	1	2	stress	math	622.153	682.147
2	2	1	stress	rotation	6.527	65.330
2	2	1	stress	math	94.540	153.246
2	2	1	relax	rotation	182.487	242.439
2	2	1	relax	math	270.419	329.692
2	2	2	stress	rotation	358.363	418.346
2	2	2	stress	math	446.326	506.308
2	2	2	relax	rotation	534.287	594.220
2	2	2	relax	math	622.185	680.566
3	1	1	relax	rotation	6.501	66.456
3	1	1	relax	math	94.411	153.212
3	1	1	stress	rotation	182.356	242.331
3	1	1	stress	math	270.313	330.310
3	1	2	relax	rotation	358.305	412.440
3	1	2	relax	math	446.176	501.910
3	1	2	stress	rotation	534.148	594.129
3	1	2	stress	math	622.130	682.125
3	2	1	stress	rotation	6.516	66.506
3	2	1	stress	math	94.506	154.485
3	2	1	relax	rotation	182.488	238.837
3	2	1	relax	math	270.381	327.510
3	2	2	stress	rotation	358.310	418.288
3	2	2	stress	math	446.257	505.174
3	2	2	relax	rotation	534.269	589.188
3	2	2	relax	math	622.202	682.174
4	1	1	relax	rotation	6.551	63.388
4	1	1	relax	math	94.423	154.416
4	1	1	stress	rotation	182.418	242.344
4	1	1	stress	math	270.330	330.306
4	1	2	relax	rotation	358.335	418.268
4	1	2	relax	math	446.255	502.881
4	1	2	stress	rotation	534.192	593.549
4	1	2	stress	math	622.147	682.137
4	2	1	stress	rotation	6.532	64.178
4	2	1	stress	math	94.501	154.490
4	2	1	relax	rotation	182.510	242.417
4	2	1	relax	math	270.405	327.831
4	2	2	stress	rotation	358.369	418.341
4	2	2	stress	math	446.334	506.303
4	2	2	relax	rotation	534.317	590.475
4	2	2	relax	math	622.210	682.179
5	1	1	relax	rotation	6.520	66.476
5	1	1	relax	math	94.442	152.527
5	1	1	stress	rotation	182.361	242.333
5	1	1	stress	math	270.316	330.312
5	1	2	relax	rotation	358.306	414.683
5	1	2	relax	math	446.209	503.969
5	1	2	stress	rotation	534.148	594.132
5	1	2	stress	math	622.101	681.144
5	2	1	stress	rotation	6.523	66.496
5	2	1	stress	math	94.477	154.208
5	2	1	relax	rotation	182.446	240.617
5	2	1	relax	math	270.341	330.316
5	2	2	stress	rotation	358.294	417.950
5	2	2	stress	math	446.232	506.206
5	2	2	relax	rotation	534.219	594.169
5	2	2	relax	math	622.109	682.097
6	1	1	relax	rotation	6.524	66.475
6	1	1	relax	math	94.435	154.421
6	1	1	stress	rotation	182.402	241.383
6	1	1	stress	math	270.376	330.364
6	1	2	relax	rotation	358.379	418.326
6	1	2	relax	math	446.310	503.886
6	1	2	stress	rotation	534.237	594.235
6	1	2	stress	math	622.210	682.196
6	2	1	stress	rotation	6.519	66.081
6	2	1	stress	math	94.465	154.452
6	2	1	relax	rotation	182.474	239.082
6	2	1	relax	math	270.361	330.343
6	2	2	stress	rotation	358.330	418.291
6	2	2	stress	math	446.305	506.285
6	2	2	relax	rotation	534.312	594.248
6	2	2	relax	math	622.227	679.919
7	1	1	relax	rotation	6.533	64.112
7	1	1	relax	math	94.421	154.366
7	1	1	stress	rotation	182.375	242.372
7	1	1	stress	math	270.350	329.610
7	1	2	relax	rotation	358.366	416.375
7	1	2	relax	math	446.273	506.125
7	1	2	stress	rotation	534.176	593.463
7	1	2	stress	math	622.130	682.101
7	2	1	stress	rotation	6.529	65.636
7	2	1	stress	math	94.497	154.481
7	2	1	relax	rotation	182.463	242.410
7	2	1	relax	math	270.368	329.317
7	2	2	stress	rotation	358.315	418.285
7	2	2	stress	math	446.273	506.265
7	2	2	relax	rotation	534.270	591.760
7	2	2	relax	math	622.159	679.531
8	1	1	relax	rotation	6.509	65.239
8	1	1	relax	math	94.418	154.405
8	1	1	stress	rotation	182.354	241.860
8	1	1	stress	math	270.305	330.280
8	1	2	relax	rotation	358.269	414.378
8	1	2	relax	math	446.154	506.122
8	1	2	stress	rotation	534.107	594.102
8	1	2	stress	math	622.083	682.080
8	2	1	stress	rotation	6.523	66.515
8	2	1	stress	math	94.521	154.510
8	2	1	relax	rotation	182.519	242.458
8	2	1	relax	math	270.439	329.053
8	2	2	stress	rotation	358.371	418.348
8	2	2	stress	math	446.345	506.310
8	2	2	relax	rotation	534.312	592.891
8	2	2	relax	math	622.208	682.185
9	1	1	relax	rotation	6.520	65.966
9	1	1	relax	math	94.457	153.433
9	1	1	stress	rotation	182.386	242.361
9	1	1	stress	math	270.351	330.341
9	1	2	relax	rotation	358.386	415.080
9	1	2	relax	math	446.276	506.249
9	1	2	stress	rotation	534.220	591.584
9	1	2	stress	math	622.133	682.107
9	2	1	stress	rotation	6.534	66.505
9	2	1	stress	math	94.505	154.484
9	2	1	relax	rotation	182.472	240.481
9	2	1	relax	math	270.365	330.359
9	2	2	stress	rotation	358.306	415.963
9	2	2	stress	math	446.308	505.717
9	2	2	relax	rotation	534.293	592.239
9	2	2	relax	math	622.182	682.159
10	1	1	relax	rotation	6.541	65.068
10	1	1	relax	math	94.406	154.404
10	1	1	stress	rotation	182.366	242.350
10	1	1	stress	math	270.300	330.279
10	1	2	relax	rotation	358.286	418.224
10	1	2	relax	math	446.212	502.803
10	1	2	stress	rotation	534.178	591.757
10	1	2	stress	math	622.150	682.129
10	2	1	stress	rotation	6.552	66.518
10	2	1	stress	math	94.501	153.111
10	2	1	relax	rotation	182.505	240.731
10	2	1	relax	math	270.425	330.390
10	2	2	stress	rotation	358.359	417.690
10	2	2	stress	math	446.307	506.281
10	2	2	relax	rotation	534.286	594.241
10	2	2	relax	math	622.217	682.189
11	1	1	relax	rotation	6.531	64.219
11	1	1	relax	math	94.419	154.390
11	1	1	stress	rotation	182.369	239.069
11	1	1	stress	math	270.293	330.281
11	1	2	relax	rotation	358.265	414.702
11	1	2	relax	math	446.134	504.480
11	1	2	stress	rotation	534.051	594.018
11	1	2	stress	math	622.005	681.996
11	2	1	stress	rotation	6.513	66.493
11	2	1	stress	math	94.455	154.430
11	2	1	relax	rotation	182.431	240.603
11	2	1	relax	math	270.311	330.280
11	2	2	stress	rotation	358.248	417.414
11	2	2	stress	math	446.224	506.204
11	2	2	relax	rotation	534.194	594.133
11	2	2	relax	math	622.077	678.830
12	1	1	relax	rotation	6.538	64.087
12	1	1	relax	math	94.439	154.433
12	1	1	stress	rotation	182.383	242.378
12	1	1	stress	math	270.378	329.490
12	1	2	relax	rotation	358.399	418.319
12	1	2	relax	math	446.306	505.282
12	1	2	stress	rotation	534.251	594.227
12	1	2	stress	math	622.195	679.798
12	2	1	stress	rotation	6.537	66.520
12	2	1	stress	math	94.491	154.465
12	2	1	relax	rotation	182.472	242.428
12	2	1	relax	math	270.383	328.325
12	2	2	stress	rotation	358.312	415.801
12	2	2	stress	math	446.258	504.489
12	2	2	relax	rotation	534.293	591.270
12	2	2	relax	math	622.204	682.171
13	1	1	relax	rotation	6.530	63.038
13	1	1	relax	math	94.409	152.233
13	1	1	stress	rotation	182.350	242.327
13	1	1	stress	math	270.338	330.322
13	1	2	relax	rotation	358.341	417.259
13	1	2	relax	math	446.247	506.230
13	1	2	stress	rotation	534.218	594.209
13	1	2	stress	math	622.189	682.189
13	2	1	stress	rotation	6.509	66.497
13	2	1	stress	math	94.497	153.122
13	2	1	relax	rotation	182.529	242.462
13	2	1	relax	math	270.438	330.434
13	2	2	stress	rotation	358.403	416.929
13	2	2	stress	math	446.417	505.076
13	2	2	relax	rotation	534.464	594.387
13	2	2	relax	math	622.361	682.350
14	1	1	relax	rotation	6.545	66.500
14	1	1	relax	math	94.452	154.430
14	1	1	stress	rotation	182.386	242.374
14	1	1	stress	math	270.343	326.904
14	1	2	relax	rotation	358.341	418.299
14	1	2	relax	math	446.274	504.094
14	1	2	stress	rotation	534.232	593.360
14	1	2	stress	math	622.241	682.235
14	2	1	stress	rotation	6.538	64.720
14	2	1	stress	math	94.517	154.528
14	2	1	relax	rotation	182.525	242.456
14	2	1	relax	math	270.431	327.422
14	2	2	stress	rotation	358.368	417.287
14	2	2	stress	math	446.326	506.325
14	2	2	relax	rotation	534.306	594.237
14	2	2	relax	math	622.217	682.200
15	1	1	relax	rotation	6.533	66.503
15	1	1	relax	math	94.509	152.327
15	1	1	stress	rotation	182.458	242.427
15	1	1	stress	math	270.381	330.373
15	1	2	relax	rotation	358.396	416.827
15	1	2	relax	math	446.289	504.032
15	1	2	stress	rotation	534.216	594.193
15	1	2	stress	math	622.177	682.172
15	2	1	stress	rotation	6.540	66.520
15	2	1	stress	math	94.510	154.499
15	2	1	relax	rotation	182.481	242.445
15	2	1	relax	math	270.422	327.424
15	2	2	stress	rotation	358.351	418.319
15	2	2	stress	math	446.313	506.298
15	2	2	relax	rotation	534.305	590.080
15	2	2	relax	math	622.172	681.708
16	1	1	relax	rotation	6.531	64.121
16	1	1	relax	math	94.427	151.976
16	1	1	stress	rotation	182.381	242.353
16	1	1	stress	math	270.351	330.332
16	1	2	relax	rotation	358.332	418.012
16	1	2	relax	math	446.210	506.206
16	1	2	stress	rotation	534.156	592.168
16	1	2	stress	math	622.119	680.907
16	2	1	stress	rotation	6.540	66.530
16	2	1	stress	math	94.513	152.508
16	2	1	relax	rotation	182.498	240.080
16	2	1	relax	math	270.374	330.350
16	2	2	stress	rotation	358.337	418.312
16	2	2	stress	math	446.298	506.291
16	2	2	relax	rotation	534.278	591.083
16	2	2	relax	math	622.175	682.149
17	1	1	relax	rotation	6.511	66.474
17	1	1	relax	math	94.454	153.076
17	1	1	stress	rotation	182.386	242.367
17	1	1	stress	math	270.347	328.842
17	1	2	relax	rotation	358.315	416.565
17	1	2	relax	math	446.222	506.218
17	1	2	stress	rotation	534.186	593.686
17	1	2	stress	math	622.147	681.167
17	2	1	stress	rotation	6.516	64.036
17	2	1	stress	math	94.518	153.998
17	2	1	relax	rotation	182.488	242.428
17	2	1	relax	math	270.397	330.322
17	2	2	stress	rotation	358.356	417.350
17	2	2	stress	math	446.339	506.246
17	2	2	relax	rotation	534.321	594.259
17	2	2	relax	math	622.222	682.189
18	1	1	relax	rotation	6.526	63.816
18	1	1	relax	math	94.454	154.418
18	1	1	stress	rotation	182.386	242.381
18	1	1	stress	math	270.370	330.376
18	1	2	relax	rotation	358.395	415.555
18	1	2	relax	math	446.269	506.267
18	1	2	stress	rotation	534.235	594.197
18	1	2	stress	math	622.207	680.925
18	2	1	stress	rotation	6.534	66.437
18	2	1	stress	math	94.479	154.484
18	2	1	relax	rotation	182.503	240.360
18	2	1	relax	math	270.423	330.408
18	2	2	stress	rotation	358.392	418.354
18	2	2	stress	math	446.358	506.136
18	2	2	relax	rotation	534.336	592.837
18	2	2	relax	math	622.242	680.413
19	1	1	relax	rotation	6.516	63.605
19	1	1	relax	math	94.439	154.402
19	1	1	stress	rotation	182.389	242.358
19	1	1	stress	math	270.346	329.409
19	1	2	relax	rotation	358.349	416.157
19	1	2	relax	math	446.223	506.194
19	1	2	stress	rotation	534.148	592.136
19	1	2	stress	math	622.112	682.101
19	2	1	stress	rotation	6.553	66.530
19	2	1	stress	math	94.538	154.526
19	2	1	relax	rotation	182.533	242.471
19	2	1	relax	math	270.463	328.702
19	2	2	stress	rotation	358.416	417.047
19	2	2	stress	math	446.371	506.343
19	2	2	relax	rotation	534.361	594.303
19	2	2	relax	math	622.279	682.283
20	1	1	relax	rotation	6.520	64.653
20	1	1	relax	math	94.389	152.855
20	1	1	stress	rotation	182.311	242.285
20	1	1	stress	math	270.250	328.880
20	1	2	relax	rotation	358.252	418.175
20	1	2	relax	math	446.142	506.138
20	1	2	stress	rotation	534.099	594.066
20	1	2	stress	math	622.052	682.029
20	2	1	stress	rotation	6.511	66.490
20	2	1	stress	math	94.479	154.469
20	2	1	relax	rotation	182.465	239.630
20	2	1	relax	math	270.357	329.677
20	2	2	stress	rotation	358.308	417.013
20	2	2	stress	math	446.284	504.578
20	2	2	relax	rotation	534.245	594.179
20	2	2	relax	math	622.140	680.397
21	1	1	relax	rotation	6.538	63.504
21	1	1	relax	math	94.427	151.129
21	1	1	stress	rotation	182.372	242.346
21	1	1	stress	math	270.351	330.325
21	1	2	relax	rotation	358.341	418.271
21	1	2	relax	math	446.244	504.125
21	1	2	stress	rotation	534.231	594.211
21	1	2	stress	math	622.217	682.207
21	2	1	stress	rotation	6.546	66.512
21	2	1	stress	math	94.507	154.475
21	2	1	relax	rotation	182.468	242.403
21	2	1	relax	math	270.382	330.365
21	2	2	stress	rotation	358.337	418.311
21	2	2	stress	math	446.293	506.290
21	2	2	relax	rotation	534.335	592.575
21	2	2	relax	math	622.206	681.341
22	1	1	relax	rotation	6.511	65.733
22	1	1	relax	math	94.399	154.379
22	1	1	stress	rotation	182.335	241.305
22	1	1	stress	math	270.310	330.304
22	1	2	relax	rotation	358.291	415.511
22	1	2	relax	math	446.234	504.746
22	1	2	stress	rotation	534.169	594.157
22	1	2	stress	math	622.141	681.639
22	2	1	stress	rotation	6.534	66.525
22	2	1	stress	math	94.526	153.282
22	2	1	relax	rotation	182.515	239.258
22	2	1	relax	math	270.416	328.156
22	2	2	stress	rotation	358.354	418.307
22	2	2	stress	math	446.307	505.192
22	2	2	relax	rotation	534.293	592.489
22	2	2	relax	math	622.181	678.128
23	1	1	relax	rotation	6.521	63.996
23	1	1	relax	math	94.428	152.746
23	1	1	stress	rotation	182.367	241.881
23	1	1	stress	math	270.334	328.932
23	1	2	relax	rotation	358.323	416.406
23	1	2	relax	math	446.231	505.240
23	1	2	stress	rotation	534.165	594.162
23	1	2	stress	math	622.153	680.867
23	2	1	stress	rotation	6.519	65.169
23	2	1	stress	math	94.502	154.477
23	2	1	relax	rotation	182.448	237.028
23	2	1	relax	math	270.332	330.333
23	2	2	stress	rotation	358.300	417.279
23	2	2	stress	math	446.285	505.423
23	2	2	relax	rotation	534.292	594.237
23	2	2	relax	math	622.200	680.715
24	1	1	relax	rotation	6.521	64.303
24	1	1	relax	math	94.411	153.783
24	1	1	stress	rotation	182.348	242.187
24	1	1	stress	math	270.324	330.309
24	1	2	relax	rotation	358.324	415.232
24	1	2	relax	math	446.211	505.940
24	1	2	stress	rotation	534.148	594.144
24	1	2	stress	math	622.124	681.673
24	2	1	stress	rotation	6.550	65.818
24	2	1	stress	math	94.519	154.499
24	2	1	relax	rotation	182.520	242.460
24	2	1	relax	math	270.451	330.422
24	2	2	stress	rotation	358.416	417.576
24	2	2	stress	math	446.387	505.548
24	2	2	relax	rotation	534.418	594.359
24	2	2	relax	math	622.351	679.946
25	1	1	relax	rotation	6.533	64.617
25	1	1	relax	math	94.449	154.431
25	1	1	stress	rotation	182.401	241.960
25	1	1	stress	math	270.360	329.361
25	1	2	relax	rotation	358.329	418.268
25	1	2	relax	math	446.265	506.246
25	1	2	stress	rotation	534.203	594.175
25	1	2	stress	math	622.175	682.170
25	2	1	stress	rotation	6.542	64.682
25	2	1	stress	math	94.535	154.529
25	2	1	relax	rotation	182.533	242.491
25	2	1	relax	math	270.458	327.640
25	2	2	stress	rotation	358.392	418.382
25	2	2	stress	math	446.373	506.361
25	2	2	relax	rotation	534.351	592.667
25	2	2	relax	math	622.247	682.235
26	1	1	relax	rotation	6.546	62.686
26	1	1	relax	math	94.418	151.743
26	1	1	stress	rotation	182.371	241.382
26	1	1	stress	math	270.325	330.304
26	1	2	relax	rotation	358.254	418.216
26	1	2	relax	math	446.201	506.178
26	1	2	stress	rotation	534.118	594.107
26	1	2	stress	math	622.104	681.802
26	2	1	stress	rotation	6.532	66.177
26	2	1	stress	math	94.528	154.056
26	2	1	relax	rotation	182.476	238.250
26	2	1	relax	math	270.371	330.359
26	2	2	stress	rotation	358.349	418.304
26	2	2	stress	math	446.293	506.267
26	2	2	relax	rotation	534.315	594.228
26	2	2	relax	math	622.202	680.153
27	1	1	relax	rotation	6.544	66.498
27	1	1	relax	math	94.449	153.708
27	1	1	stress	rotation	182.426	241.398
27	1	1	stress	math	270.407	330.241
27	1	2	relax	rotation	358.364	415.798
27	1	2	relax	math	446.255	503.466
27	1	2	stress	rotation	534.200	594.170
27	1	2	stress	math	622.137	682.132
27	2	1	stress	rotation	6.522	66.508
27	2	1	stress	math	94.497	154.486
27	2	1	relax	rotation	182.493	240.581
27	2	1	relax	math	270.369	327.519
27	2	2	stress	rotation	358.287	418.256
27	2	2	stress	math	446.266	506.118
27	2	2	relax	rotation	534.237	594.164
27	2	2	relax	math	622.157	680.841
28	1	1	relax	rotation	6.557	63.585
28	1	1	relax	math	94.416	154.400
28	1	1	stress	rotation	182.369	242.327
28	1	1	stress	math	270.319	329.535
28	1	2	relax	rotation	358.292	415.403
28	1	2	relax	math	446.167	503.198
28	1	2	stress	rotation	534.084	594.059
28	1	2	stress	math	622.037	681.651
28	2	1	stress	rotation	6.531	66.538
28	2	1	stress	math	94.488	154.483
28	2	1	relax	rotation	182.494	240.614
28	2	1	relax	math	270.402	328.951
28	2	2	stress	rotation	358.367	418.320
28	2	2	stress	math	446.336	505.414
28	2	2	relax	rotation	534.309	594.261
28	2	2	relax	math	622.235	682.080
29	1	1	relax	rotation	6.531	66.479
29	1	1	relax	math	94.457	153.931
29	1	1	stress	rotation	182.426	242.402
29	1	1	stress	math	270.402	330.397
29	1	2	relax	rotation	358.394	418.326
29	1	2	relax	math	446.289	506.272
29	1	2	stress	rotation	534.240	594.234
29	1	2	stress	math	622.198	681.746
29	2	1	stress	rotation	6.537	66.509
29	2	1	stress	math	94.525	154.504
29	2	1	relax	rotation	182.495	241.666
29	2	1	relax	math	270.399	330.360
29	2	2	stress	rotation	358.331	418.248
29	2	2	stress	math	446.303	506.301
29	2	2	relax	rotation	534.315	594.247
29	2	2	relax	math	622.209	681.510
